"","date","time","region","gmv","cnt_call","is_exp","const"
"1","2020/2/19",0,1,4.262816716,3.571859214,1,1
"2","2020/2/19",1,1,6.27904035918418,0.453426568,0,1
"3","2020/2/19",2,1,2.40101353582187,3.571859214,1,1
"4","2020/2/19",3,1,4.62080444280046,0.453426568,0,1
"5","2020/2/19",4,1,-0.443545128769064,1.233034729,1,1
"6","2020/2/19",5,1,-1.08820617425071,-0.326181594,0,1
"7","2020/2/19",6,1,-0.431224988941387,-0.326181594,0,1
"8","2020/2/19",7,1,1.92586079921612,2.012642891,0,1
"9","2020/2/19",8,1,0.343758372535112,0.453426568,1,1
"10","2020/2/19",9,1,1.30654213223676,-0.326181594,0,1
"11","2020/2/19",10,1,2.67016694224804,0.453426568,1,1
"12","2020/2/19",11,1,1.52048635769767,0.453426568,0,1
"13","2020/2/19",12,1,-0.0825793248532167,-0.326181594,0,1
"14","2020/2/19",13,1,1.07423718501766,9.808724506,0,1
"15","2020/2/19",14,1,5.83295922161302,-0.326181594,0,1
"16","2020/2/19",15,1,4.46863097716313,9.808724506,0,1
"17","2020/2/19",16,1,18.5300802634881,5.131075537,1,1
"18","2020/2/19",17,1,12.9382982910413,8.249508183,0,1
"19","2020/2/19",18,1,12.2085709796761,2.012642891,1,1
"20","2020/2/19",19,1,2.4831855090679,2.792251052,0,1
"21","2020/2/19",20,1,5.17232961328075,9.029116345,1,1
"22","2020/2/19",21,1,3.24081910813974,-0.326181594,0,1
"23","2020/2/19",22,1,14.7439667865521,6.69029186,1,1
"24","2020/2/19",23,1,6.5157209586805,4.351467375,0,1
"25","2020/2/19",24,1,11.2002431377948,3.571859214,1,1
"26","2020/2/19",25,1,8.17575494974383,5.910683698,0,1
"27","2020/2/19",26,1,10.441695667895,9.808724506,1,1
"28","2020/2/19",27,1,8.76740576899524,9.808724506,0,1
"29","2020/2/19",28,1,17.6632455416007,9.808724506,1,1
"30","2020/2/19",29,1,3.31554016884817,4.351467375,0,1
"31","2020/2/19",30,1,1.57117517006792,5.910683698,1,1
"32","2020/2/19",31,1,9.08392815781516,7.469900021,0,1
"33","2020/2/19",32,1,5.95639572398486,7.469900021,1,1
